Participant._id_in_session_display,Participant.code,Participant.label,Participant._current_page,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.status,Participant.last_request_succeeded,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.name,Participant.session,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.role,Player.id,Player.payoff,Player.decision,Player.nghb,Player.num_active,Group.id,Group.networktype,Subsession.id,Subsession.round_number,Session.code,Session.label,Session.experimenter_name,Session.real_world_currency_per_point,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.participation_fee,Session.comment,Session.special_category
P5,bepogose,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.71.192.166,2015-09-14 08:38:27.194239+00:00,0,25,serejami,1,,,3,C,415,,,,,83,,83,3,serejami,,,0.01,,,,,10,,demo
P4,mezubode,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.146.15.54,2015-09-14 08:38:26.724276+00:00,0,24,serejami,1,,,4,D,414,,,,,83,,83,3,serejami,,,0.01,,,,,10,,demo
P1,rirojolo,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.41.197.194,2015-09-14 08:38:24.182819+00:00,0,21,serejami,1,,,5,E,411,,,,,83,,83,3,serejami,,,0.01,,,,,10,,demo
P5,zajajije,,0/199 pages,,,,Not visited yet,,,,0,5,mekanevu,0,,,5,E,20,,,,,4,,4,4,mekanevu,,,0.01,,,,,10,,demo
P2,zuladoda,,0/199 pages,,,,Not visited yet,,,,0,2,mekanevu,0,,,1,A,17,,,,,4,,4,4,mekanevu,,,0.01,,,,,10,,demo
P1,kasagulo,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.138.123.182,2015-09-14 07:52:16.678679+00:00,0,1,mekanevu,1,,,2,B,16,,,,,4,,4,4,mekanevu,,,0.01,,,,,10,,demo
P4,vukejeni,,0/199 pages,,,,Not visited yet,,,,0,4,mekanevu,0,,,3,C,19,,,,,4,,4,4,mekanevu,,,0.01,,,,,10,,demo
P3,jukakeso,,0/199 pages,,,,Not visited yet,,,,0,3,mekanevu,0,,,4,D,18,,,,,4,,4,4,mekanevu,,,0.01,,,,,10,,demo
P1,rirojolo,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.41.197.194,2015-09-14 08:38:24.182819+00:00,0,21,serejami,1,,,4,D,416,,,,,84,,84,4,serejami,,,0.01,,,,,10,,demo
P2,zedaboko,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.149.84.53,2015-09-14 08:38:24.970343+00:00,0,22,serejami,1,,,5,E,417,,,,,84,,84,4,serejami,,,0.01,,,,,10,,demo
P5,bepogose,,1/199 pages,network,1,Active_or_Inactive,Disconnected,1,10.71.192.166,2015-09-14 08:38:27.194239+00:00,0,25,serejami,1,,,1,A,420,,,,,84,,84,4,serejami,,,0.01,,,,,10,,demo
